index,Video Title,Views,Likes,Comments,Publish Date,Live Days
2024/2/8 00:00,Day 128 | Galop Infernal | Violin Progress,19,6,0,2024/1/17 00:00,22 days 00:00:00
2024/2/8 00:00,Violin Progress | Day 141 vs Day 67 | Minuet in G by Bach,226,13,6,2024/1/30 00:00,9 days 00:00:00
2024/2/8 00:00,how to spend 3 days in Paris,75,4,2,2023/12/11 00:00,59 days 00:00:00
2024/2/8 00:00,Violin Progress | Day 137 vs Day 30 | March by Bach,158,13,0,2024/1/26 00:00,13 days 00:00:00
2024/2/8 00:00,2023 Christmas Party,47,6,0,2023/12/25 00:00,45 days 00:00:00
2024/2/8 00:00,5 days before DELF B2 | Learning French,14,4,0,2024/1/17 00:00,22 days 00:00:00
2024/2/8 00:00,Practice violin with me | How I practice as a beginner violinist - Day 82,20,3,0,2023/12/18 00:00,52 days 00:00:00
2024/2/8 00:00,Violin Progress | Day 131 | Greensleeves by Anon,9,2,0,2024/1/20 00:00,19 days 00:00:00
2024/2/8 00:00,My 2023 - why it was both dark and bright [Subtitles in French and English],7,2,2,2024/1/22 00:00,17 days 00:00:00
2024/2/8 00:00,Hungarian Dance No.5 | Day 119 | Violin Progress,19,1,0,2024/1/8 00:00,31 days 00:00:00
2024/2/8 00:00,My 2023 - why it was both dark and bright [Subtitles in French and English],7,2,2,2024/1/22 00:00,17 days 00:00:00
2024/2/8 00:00,Hungarian Dance No.5 | Day 119 | Violin Progress,19,1,0,2024/1/8 00:00,31 days 00:00:00
2024/2/8 00:00,Violin Progress | Day 149 vs Day 90 | Barcarolle,34,1,0,2024/2/7 00:00,1 days 00:00:00
2024/2/8 00:00,violin progress Day 67 vs Day 141 #violintechnique,7,0,0,2024/1/30 00:00,9 days 00:00:00
2024/2/8 00:00,Violin Progress | Day 135 | Air on a G String by Bach,196,5,2,2024/1/24 00:00,15 days 00:00:00
2024/2/8 00:00,Barcarolle | Day 123 | Violin Progress,21,2,0,2024/1/12 00:00,27 days 00:00:00
2024/2/8 00:00,We spent the New Year in Germany but in Russian style,31,4,0,2024/1/13 00:00,26 days 00:00:00
2024/2/8 00:00,Violin € 1200 vs. € 120,67,4,2,2023/12/25 00:00,45 days 00:00:00
2024/2/8 00:00,Violin Progress | Day 144 | Gavotte by Gossec,108,6,2,2024/2/2 00:00,6 days 00:00:00
2024/2/8 00:00,"French Learning Tips | Podcasts, Language Exchange, YouTube Videos, DELF B2... (links below )",87,6,4,2024/1/29 00:00,10 days 00:00:00
